Commuter,Casual,Tourist/Visitor,Concession/Student,hour,event
0.37538332,0.4297253,0.07810504,0.11678635,18.0,False
0.3768496,0.4312409,0.076770656,0.115138985,18.5,False
0.3785261,0.43237293,0.0755496,0.11355143,18.5,False
0.3803832,0.43317375,0.07443062,0.112012416,18.5,False
0.38269168,0.43345782,0.07340623,0.110444285,19.0,False
0.3851515,0.43343055,0.07247908,0.108938925,19.0,False
0.38779518,0.43307173,0.071645424,0.10748769,19.0,False
0.39055303,0.43242687,0.07090864,0.10611148,19.5,False
0.39342257,0.43149927,0.0702675,0.104810685,19.5,False
0.3964009,0.43029293,0.06972074,0.10358549,19.5,False
0.39948443,0.42881238,0.069267295,0.10243585,20.0,False
0.40266895,0.42706314,0.068906195,0.10136171,20.0,False
0.40594974,0.42505094,0.0686366,0.10036274,20.0,False
0.40932128,0.4227824,0.06845777,0.09943858,20.5,False
0.41307628,0.4198986,0.0684497,0.09857544,20.5,False
0.41706306,0.416587,0.06857177,0.09777818,20.5,False
0.42111295,0.4130537,0.06878038,0.097052984,21.0,False
0.4252165,0.40930894,0.06907549,0.09639913,21.0,False
0.43023276,0.40487215,0.06937806,0.095516965,21.0,False
0.43541947,0.40016827,0.06975187,0.09466036,21.5,False
0.44041368,0.39565268,0.070122674,0.09381096,21.5,False
0.44524404,0.39126647,0.0705065,0.09298303,21.5,False
0.45005465,0.38675776,0.07096541,0.09222224,22.0,False
0.454833,0.38213903,0.07149973,0.09152817,22.0,False
0.45956644,0.3774232,0.072109886,0.09090051,22.0,False
0.4642421,0.37262276,0.072796345,0.09033882,22.5,False
0.46929815,0.36732668,0.073577814,0.08979732,22.5,False
0.47436407,0.3618867,0.07443924,0.08930992,22.5,False
0.47936514,0.35637403,0.07537868,0.088882156,23.0,False
0.48351482,0.19972962,0.17839232,0.13836321,8.0,False
0.48047608,0.19945315,0.18011232,0.13995849,8.0,False
0.47745013,0.19924963,0.1817433,0.14155695,8.0,False
0.47437438,0.1991581,0.18328452,0.14318304,8.5,False
0.4712563,0.1991788,0.18473071,0.1448342,8.5,False
0.46816862,0.19920443,0.1861427,0.1464843,8.5,False
0.46508515,0.19928914,0.1874839,0.1481418,9.0,False
0.4619637,0.19951464,0.18869968,0.1498219,9.0,False
0.45881167,0.1998812,0.18978532,0.15152183,9.0,False
0.45563602,0.20038892,0.19073647,0.1532386,9.5,False
0.4524437,0.20103802,0.19154929,0.15496902,9.5,False
0.44924128,0.20182855,0.19222037,0.15670979,9.5,False
0.44603515,0.20276058,0.19274686,0.15845734,10.0,False
0.4446242,0.20366569,0.1925512,0.15915895,10.0,False
0.44327182,0.2047127,0.19219704,0.15981841,10.0,False
0.44185865,0.20591272,0.19172403,0.16050462,10.5,False
0.4403859,0.20726511,0.1911331,0.16121589,10.5,False
0.43885496,0.20876916,0.19042553,0.16195035,10.5,False
0.43703294,0.21106762,0.18909395,0.16280547,11.0,False
0.43513697,0.2136503,0.1875269,0.16368583,11.0,False
0.43334383,0.21634234,0.18584354,0.16447034,11.0,False
0.43172577,0.21942732,0.18384072,0.1650062,11.5,False
0.4301691,0.22280055,0.18160985,0.16542049,11.5,False
0.42866147,0.22645412,0.17916916,0.16571535,11.5,False
0.4271131,0.23027208,0.17663798,0.16597682,12.0,False
0.42552283,0.23425074,0.17402397,0.16620247,12.0,False
0.42459336,0.2381911,0.17120457,0.166011,12.0,False
0.42364922,0.24226922,0.16831778,0.16576383,12.5,False
0.42262915,0.24663992,0.16531694,0.16541399,12.5,False
0.42153025,0.2515259,0.16210938,0.16483454,12.5,False
0.42033395,0.25656042,0.15887341,0.16423218,13.0,False
0.41903788,0.26174262,0.15561287,0.1636066,13.0,False
0.41764477,0.26705045,0.15234685,0.16295801,13.0,False
0.41615504,0.27247488,0.1490833,0.1622867,13.5,False
0.41457018,0.2780063,0.14583027,0.16159327,13.5,False
0.41289195,0.2836343,0.1425953,0.16087843,13.5,False
0.41112304,0.28934804,0.1393857,0.1601432,14.0,False
0.40926674,0.2951359,0.1362086,0.15938878,14.0,False
0.407327,0.3009859,0.13307054,0.15861656,14.0,False
0.40530849,0.3068854,0.12997793,0.15782824,14.5,False
0.4032164,0.3128214,0.12693669,0.15702556,14.5,False
