start,date,station_id,time,Commuter,Casual,Tourist/Visitor,Concession/Student
5640,2023-05-27,65,12:00:00,15.059947967529297,49.70270919799805,26.310123443603516,8.92721176147461
5641,2023-05-27,65,12:10:00,14.448296546936035,48.680301666259766,28.65880584716797,8.21259593963623
5642,2023-05-27,158,12:20:00,14.945155143737793,54.48649597167969,22.308940887451172,8.259401321411133
5643,2023-05-27,65,12:30:00,13.820531845092773,47.229209899902344,29.246490478515625,9.703770637512207
5644,2023-05-27,65,12:40:00,14.803380012512207,48.90882873535156,27.941679000854492,8.346115112304688
5645,2023-05-27,158,12:50:00,20.30025291442871,53.65248107910156,17.33088493347168,8.71638011932373
5646,2023-05-27,158,13:00:00,21.780933380126953,56.876930236816406,9.246661186218262,12.095479011535645
5647,2023-05-27,174,13:10:00,18.078054428100586,43.5704345703125,20.135723114013672,18.215784072875977
5648,2023-05-27,158,13:20:00,16.54143524169922,64.82106018066406,8.457448959350586,10.180057525634766
5649,2023-05-27,175,13:30:00,17.03872299194336,46.46284866333008,23.600242614746094,12.898195266723633
5650,2023-05-27,28,13:40:00,21.834936141967773,52.90327453613281,14.53415584564209,10.727630615234375
5651,2023-05-27,158,13:50:00,17.87925910949707,58.00067901611328,13.5989351272583,10.521126747131348
5652,2023-05-27,158,14:00:00,18.98471450805664,61.10334014892578,10.903759002685547,9.00818920135498
5653,2023-05-27,139,14:10:00,10.215519905090332,72.63123321533203,8.8466157913208,8.306625366210938
5654,2023-05-27,175,14:20:00,23.102970123291016,39.80999755859375,25.217147827148438,11.869876861572266
5655,2023-05-27,177,14:30:00,27.607460021972656,47.86474609375,12.948132514953613,11.579666137695312
5656,2023-05-27,37,14:40:00,19.897720336914062,57.287757873535156,11.416946411132812,11.397573471069336
5657,2023-05-27,65,14:50:00,15.543241500854492,48.09904098510742,24.276866912841797,12.080849647521973
5658,2023-05-27,65,15:00:00,15.59897518157959,45.92266845703125,29.22801399230957,9.250336647033691
5659,2023-05-27,28,15:10:00,17.9775390625,56.161441802978516,14.85783863067627,11.003178596496582
