RMSE,MAE,WMAPE,R2,NDE,EPE,n_peak_cells,step,minutes_ahead,model
32.26111392205744,14.019882480843354,20.43569611434617,0.9386289050949058,21.9177429315572,16.25113101175839,31347,6,60,AGCRN
30.33865651194875,13.572412983033859,17.359563671215003,0.9593314079071654,17.894225631552178,13.527208635555645,31536,1,10,TGALSTM
32.229596485011825,14.141267991440381,18.512842119776327,0.9523293369854104,19.39118276629743,14.657409180530848,31371,2,20,TGALSTM
32.352665254623346,14.510088633414624,19.520118986498282,0.9491800147945512,20.017487031819268,15.383512584720052,31457,3,30,TGALSTM
35.93757153593927,15.592394770445884,21.55325554233385,0.9336480068518166,22.867407561454495,17.563249019215736,31318,4,40,TGALSTM
38.92091504338732,16.411016413841637,23.282114068011424,0.9176064030374878,25.46850345468929,19.231282190081938,31570,5,50,TGALSTM
40.35805970583019,17.171678449549667,25.029824825404315,0.9039570013917402,27.418692980840852,20.896189964346092,31347,6,60,TGALSTM
34.189315811269516,15.643775240841936,20.008904289240707,0.9483527422130898,20.16540617328588,14.95238613659314,31536,1,10,TDAG-Net (persona-split)
34.67739121330273,15.725901863765822,20.58734326873748,0.9448133169620031,20.863917151065227,15.533654375073533,31371,2,20,TDAG-Net (persona-split)
34.17732414208362,15.639735767345769,21.039809666837257,0.9432859684431264,21.146453852010694,15.875230901229987,31457,3,30,TDAG-Net (persona-split)
35.603607439555574,15.897305028651722,21.97473080699594,0.9348754811081141,22.654903132899506,17.021422714954138,31318,4,40,TDAG-Net (persona-split)
36.452540362154274,16.029249405836197,22.74050574810935,0.9277258525284253,23.853284258882322,17.842265481264022,31570,5,50,TDAG-Net (persona-split)
36.369335289979766,16.139046983588138,23.52463796914244,0.9220033623216237,24.708810222835325,18.61483486030125,31347,6,60,TDAG-Net (persona-split)
29.26843273843123,13.220152834243642,16.909011327324528,0.9621500436610184,17.262990505104465,13.167667464993393,31536,1,10,TDAG-Net (ours)
30.962907426927668,13.53628733953068,17.720840207281427,0.9560028115654471,18.62906962458305,14.025314740000024,31371,2,20,TDAG-Net (ours)
30.66181976654393,13.585799931736599,18.276692713202994,0.9543532082582517,18.97131425550981,14.375542892786093,31457,3,30,TDAG-Net (ours)
32.634367058667884,14.220398858952105,19.65675542680881,0.94528493643133,20.765548147691746,15.809854835020857,31318,4,40,TDAG-Net (ours)
33.53843127732902,14.537422899381568,20.62406920224954,0.9388195215840324,21.94639185382251,16.64686682580031,31570,5,50,TDAG-Net (ours)
34.332822087680555,14.905948874609553,21.727246424049724,0.9304937016875956,23.325232056484467,17.66977724042087,31347,6,60,TDAG-Net (ours)
