epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
61,0.1090073934295675,0.0987411057883566,0.0003,0.5384203195571899,14.9,False,2,2026-07-30T14:23:58,TDAG-Net (persona-split)
62,0.1084556558138721,0.0971924556562533,0.0003,0.4020137786865234,15.0,True,0,2026-07-30T14:24:13,TDAG-Net (persona-split)
63,0.1083732257505039,0.1013192931538099,0.0003,0.3457607924938202,14.9,False,1,2026-07-30T14:24:28,TDAG-Net (persona-split)
64,0.1081591948375597,0.0975543637197096,0.0003,0.3842430114746094,14.9,False,2,2026-07-30T14:24:43,TDAG-Net (persona-split)
65,0.1082497690896411,0.0977102413282289,0.0003,0.4036887884140014,14.9,False,3,2026-07-30T14:24:57,TDAG-Net (persona-split)
66,0.1083886464873513,0.0979004906756537,0.0003,0.3812824785709381,14.8,False,4,2026-07-30T14:25:12,TDAG-Net (persona-split)
67,0.1076699701639322,0.0968286215767755,0.0003,0.3608811795711517,14.9,True,0,2026-07-30T14:25:27,TDAG-Net (persona-split)
68,0.1081290576811675,0.097945005602234,0.0003,0.3810323774814605,14.9,False,1,2026-07-30T14:25:42,TDAG-Net (persona-split)
69,0.1075871215744333,0.097633309662342,0.0003,0.3388343453407287,14.9,False,2,2026-07-30T14:25:57,TDAG-Net (persona-split)
70,0.1077323061751795,0.0975373436052065,0.0003,0.4101944863796234,14.9,False,3,2026-07-30T14:26:12,TDAG-Net (persona-split)
71,0.1071051492304592,0.096059170029648,0.0003,0.308617889881134,14.9,True,0,2026-07-30T14:26:27,TDAG-Net (persona-split)
72,0.1074378932897861,0.0962204918838464,0.0003,0.48206627368927,14.9,False,1,2026-07-30T14:26:42,TDAG-Net (persona-split)
73,0.1070620405149983,0.0958376966089337,0.0003,0.4225373566150665,15.0,True,0,2026-07-30T14:26:57,TDAG-Net (persona-split)
74,0.1068995856976771,0.0959571131228745,0.0003,0.3549028933048248,14.9,False,1,2026-07-30T14:27:12,TDAG-Net (persona-split)
75,0.1069976448030262,0.0969689453614282,0.0003,0.4596014320850372,14.9,False,2,2026-07-30T14:27:27,TDAG-Net (persona-split)
76,0.1067530887958767,0.096401050973397,0.0003,0.358513206243515,14.9,False,3,2026-07-30T14:27:42,TDAG-Net (persona-split)
77,0.1069768240327363,0.0961221732035443,0.0003,0.4082942903041839,14.9,False,4,2026-07-30T14:27:57,TDAG-Net (persona-split)
78,0.10660823567228,0.0958210711295788,0.0003,0.3070087134838104,15.0,True,0,2026-07-30T14:28:12,TDAG-Net (persona-split)
79,0.1061613697927076,0.096063858450769,0.0003,0.3877164423465729,14.9,False,1,2026-07-30T14:28:27,TDAG-Net (persona-split)
0,0.2357813957628313,0.2214343687007715,0.0003,0.3900350928306579,15.9,True,0,2026-07-30T12:55:41,TDAG-Net (persona-split)
