tod_sin,tod_cos,dow_sin,dow_cos,is_weekend,event_flag,event_countdown,t
-0.9238796,-0.38268313,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 16:30:00
-0.9396926,-0.34202006,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 16:40:00
-0.95371705,-0.30070552,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 16:50:00
-0.9659258,-0.25881898,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 17:00:00
-0.97629607,-0.21643932,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 17:10:00
-0.9848078,-0.17364813,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 17:20:00
-0.9914449,-0.13052592,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 17:30:00
-0.9961947,-0.08715571,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 17:40:00
-0.99904823,-0.04361913,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 17:50:00
-1.0,1.1924881e-08,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 18:00:00
-0.99904823,0.043619152,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 18:10:00
-0.9961947,0.08715574,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 18:20:00
-0.9914448,0.13052642,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 18:30:00
-0.98480767,0.17364863,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 18:40:00
-0.97629595,0.21643981,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 18:50:00
-0.9659257,0.25881946,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 19:00:00
-0.9537169,0.30070597,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 19:10:00
-0.9396925,0.3420205,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 19:20:00
-0.92387944,0.38268358,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 19:30:00
-0.9063078,0.42261818,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 19:40:00
-0.88701075,0.46174875,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 19:50:00
-0.86602545,0.4999999,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 20:00:00
-0.84339136,0.5372997,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 20:10:00
-0.8191521,0.57357633,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 20:20:00
-0.79335326,0.6087615,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 20:30:00
-0.76604456,0.6427875,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 20:40:00
-0.73727727,0.6755903,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 20:50:00
-0.70710653,0.707107,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 21:00:00
-0.67559016,0.7372774,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 21:10:00
-0.6427874,0.7660446,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 21:20:00
-0.60876137,0.7933534,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 21:30:00
-0.5735762,0.81915224,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 21:40:00
-0.5372996,0.8433915,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 21:50:00
-0.49999976,0.86602557,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 22:00:00
-0.46174857,0.8870109,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 22:10:00
-0.42261803,0.9063079,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 22:20:00
-0.38268343,0.92387956,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 22:30:00
-0.34202036,0.93969256,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 22:40:00
-0.3007058,0.95371693,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 22:50:00
-0.25881884,0.9659259,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 23:00:00
-0.21643916,0.9762961,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 23:10:00
-0.17364797,0.9848078,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 23:20:00
-0.13052575,0.99144495,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 23:30:00
-0.08715556,0.9961947,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 23:40:00
-0.043618966,0.99904823,0.43388382,-0.90096885,0.0,0.0,1.0,2023-03-02 23:50:00
1.0,-4.371139e-08,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 06:00:00
0.99904823,-0.043619424,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 06:10:00
0.99619466,-0.087155886,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 06:20:00
