lag_days,acf,persona
2.9814814814814814,0.566484815565065,Commuter
2.990740740740741,0.6048514977771252,Commuter
3.0,0.6221617380063931,Commuter
3.009259259259259,0.6045600925126525,Commuter
3.0185185185185186,0.5659162804223283,Commuter
3.0277777777777777,0.5121578018226997,Commuter
3.037037037037037,0.4371390415768663,Commuter
3.0462962962962963,0.3530562705289809,Commuter
3.0555555555555554,0.2688122176518216,Commuter
3.064814814814815,0.18274802061613243,Commuter
3.074074074074074,0.10062818681129294,Commuter
3.0833333333333335,0.0269402190599171,Commuter
3.0925925925925926,-0.03975642918913702,Commuter
3.1018518518518516,-0.09741068526792478,Commuter
3.111111111111111,-0.14535481360172217,Commuter
3.1203703703703702,-0.18590909012089013,Commuter
3.1296296296296298,-0.21805893120083347,Commuter
3.138888888888889,-0.24189911862421945,Commuter
3.1481481481481484,-0.25979189311743284,Commuter
3.1574074074074074,-0.271352857531251,Commuter
3.1666666666666665,-0.27705296720832645,Commuter
3.175925925925926,-0.27926662838575517,Commuter
3.185185185185185,-0.27788573417999535,Commuter
3.1944444444444446,-0.27422405515120823,Commuter
3.2037037037037037,-0.27002570582544616,Commuter
3.212962962962963,-0.26453101743904034,Commuter
3.2222222222222223,-0.25898756511861437,Commuter
3.2314814814814814,-0.25468451310317153,Commuter
3.240740740740741,-0.25041319033409243,Commuter
3.25,-0.24665073116896122,Commuter
3.259259259259259,-0.24415856690644622,Commuter
3.2685185185185186,-0.241394585125577,Commuter
3.2777777777777777,-0.23815974436068318,Commuter
3.287037037037037,-0.23495253047767017,Commuter
3.2962962962962963,-0.2300056194336472,Commuter
3.3055555555555554,-0.2227862233945728,Commuter
3.314814814814815,-0.21364569351213988,Commuter
3.324074074074074,-0.20043612436199276,Commuter
3.3333333333333335,-0.18308081296900502,Commuter
3.3425925925925926,-0.16181240519764037,Commuter
3.3518518518518516,-0.13443037491896256,Commuter
3.361111111111111,-0.10162887775684017,Commuter
3.3703703703703702,-0.0646205924991627,Commuter
3.3796296296296298,-0.02219803330439667,Commuter
3.388888888888889,0.024285908195311852,Commuter
3.3981481481481484,0.07227997055527557,Commuter
3.4074074074074074,0.12141889370685656,Commuter
3.4166666666666665,0.1688696579478068,Commuter
3.425925925925926,0.21124452726527018,Commuter
3.435185185185185,0.2492341397714001,Commuter
3.4444444444444446,0.2798350841675423,Commuter
3.4537037037037037,0.30020424682045604,Commuter
3.462962962962963,0.3156311332122156,Commuter
3.4722222222222223,0.3251485435176356,Commuter
3.4814814814814814,0.32501126682187254,Commuter
3.490740740740741,0.3256357037347959,Commuter
3.5,0.32760978030676985,Commuter
3.509259259259259,0.3226469935102076,Commuter
3.5185185185185186,0.3191395762233215,Commuter
3.5277777777777777,0.3167069821487106,Commuter
3.537037037037037,0.30512653080167895,Commuter
3.5462962962962963,0.28814688559726587,Commuter
3.5555555555555554,0.2667681554832065,Commuter
3.564814814814815,0.23572037949196545,Commuter
3.574074074074074,0.19787847437553432,Commuter
3.5833333333333335,0.15610466476341664,Commuter
3.5925925925925926,0.10961023917492085,Commuter
3.6018518518518516,0.06166498857237638,Commuter
3.611111111111111,0.015020529351202913,Commuter
3.6203703703703702,-0.030031891389860132,Commuter
3.6296296296296298,-0.07101570405511463,Commuter
3.638888888888889,-0.10668218700034868,Commuter
3.6481481481481484,-0.13826721522747967,Commuter
3.6574074074074074,-0.1645422593954492,Commuter
3.6666666666666665,-0.1849290740142911,Commuter
3.675925925925926,-0.2015679762598161,Commuter
3.685185185185185,-0.2141821852435461,Commuter
3.6944444444444446,-0.222910243232484,Commuter
3.7037037037037037,-0.2298636092436604,Commuter
3.712962962962963,-0.23464027081909514,Commuter
3.7222222222222223,-0.23779887312065923,Commuter
3.7314814814814814,-0.24102011968263024,Commuter
3.740740740740741,-0.2438083709739593,Commuter
3.75,-0.24634726959516845,Commuter
3.759259259259259,-0.25015457245371553,Commuter
3.7685185185185186,-0.25447971522766283,Commuter
3.7777777777777777,-0.2587934799245791,Commuter
3.787037037037037,-0.26430954651125516,Commuter
3.7962962962962963,-0.2697203706321146,Commuter
3.8055555555555554,-0.2737878516223397,Commuter
3.814814814814815,-0.2772769645422522,Commuter
3.824074074074074,-0.27844572400594936,Commuter
3.8333333333333335,-0.2759378827859342,Commuter
3.8425925925925926,-0.26980777890463536,Commuter
3.8518518518518516,-0.25770288492177423,Commuter
3.861111111111111,-0.2391713228493603,Commuter
3.8703703703703702,-0.21459732545121518,Commuter
3.8796296296296298,-0.18152337953468217,Commuter
3.888888888888889,-0.13993355033341098,Commuter
3.8981481481481484,-0.09075119308946067,Commuter
3.9074074074074074,-0.03160063399167509,Commuter
3.9166666666666665,0.036809592353472656,Commuter
3.925925925925926,0.11244253115704236,Commuter
3.935185185185185,0.19676650603404572,Commuter
