card_channel,volume,share_pct,weekend_ratio,am_share,pm_share,mid_share,late_share,peak_concentration,ampm_asymmetry,spatial_entropy,station_hhi,io_balance,daily_burstiness,label,cum_pct
123,2272571.0,1.1903766494379369,1.2065049644260897,0.16732238508719854,0.19934778715384466,0.3587289462023408,0.07779030886163732,0.3666701722410432,-0.08734117059729941,0.8743824889460562,0.02020207535372688,-0.001390935640734657,0.26092943690033865,card_123,92.045511121995
85,1955397.0,1.0242403556064887,0.9120239583615033,0.22523559154483724,0.12449287791686293,0.41949537613078075,0.02612819800787258,0.34972846946170016,0.28805980188869623,0.901683179714995,0.01187246349222934,-0.006679462022290103,0.13675996991349404,card_85,93.0697514776015
102,1854985.0,0.9716443750525864,0.663537880196654,0.311895783523856,0.270645315191228,0.20191376210589307,0.054464052269964446,0.582541098715084,0.07081125850796544,0.9055282619923124,0.011989968689579364,-0.0015337051243001964,0.22578244465217018,card_102,94.04139585265409
104,1770415.0,0.9273464617011592,0.863127322858666,0.2284695961116462,0.10714380526599698,0.4465653533211142,0.01723324757189698,0.3356134013776432,0.3615046072285101,0.9094944040621454,0.011328013286639706,-0.0084980075293081,0.13219978559684148,card_104,94.96874231435525
56,1747453.0,0.9153189260930774,0.6439494297582623,0.26257587471594357,0.18245125906104476,0.30309770849344714,0.05291930598419526,0.4450271337769883,0.1800443379145749,0.9248223222676433,0.011493650030526437,-0.007710078611556362,0.2183443531958687,card_56,95.88406124044833
101,1375977.0,0.7207391500479695,1.1533585953060947,0.21001223130909885,0.24512473682336253,0.2893885580936308,0.07655287842747367,0.4551369681324614,-0.07714711828032536,0.86339373257083,0.019533005088137333,-0.0004905605253576186,0.13330465007895967,card_101,96.60480039049631
59,1283239.0,0.6721628240649418,0.7975607550455066,0.22176928849575167,0.1455060203126619,0.3494345168748767,0.07618144398666185,0.3672753088084136,0.20764605284934068,0.9508065039050052,0.008562892879006854,-0.009434719487172694,0.11408734578451005,card_59,97.27696321456125
118,1217271.0,0.6376086707249045,1.4485960712756396,0.1242845676928145,0.21638074019671877,0.3762317511876977,0.0892200668544638,0.34066530788953325,-0.2703420934595667,0.8144057895953155,0.03009517722874691,-0.0006021666498257167,0.35060185230905044,card_118,97.91457188528615
54,917511.0,0.4805938604349219,1.1352791474002075,0.16126455159665656,0.21818702991026803,0.24586953180942783,0.08247530547317687,0.3794515815069246,-0.15001249457850183,0.8830676216363891,0.014103238211203828,-0.003682789634129727,0.16543304419359162,card_54,98.39516574572107
119,847844.0,0.44410216444989314,0.6392664535201593,0.3564735965578574,0.2599086624426192,0.17893621939885168,0.06259170319068132,0.6163822590004766,0.1566640387603426,0.8711461984144379,0.016335366587326344,-0.0003467619043125858,0.23906617292805457,card_119,98.83926791017096
-1,795349.0,0.4166051919846789,0.6765401709089289,0.2829160532043166,0.24498679196176773,0.2515348607969583,0.0560747546045824,0.5279028451660843,0.07184894264136028,0.8814468145483927,0.015204399920144294,-0.0010724851606024525,0.20937561329736648,OTHER,99.25587310215563
83,633230.0,0.33168697731493746,0.8367133312105509,0.2318683574688501,0.1677668461696381,0.3511283419926407,0.03850733540735593,0.3996352036384882,0.16040006164521609,0.9148966908540201,0.01111167895678082,-0.00781390647947823,0.12051074817224744,card_83,99.58756007947056
111,472105.0,0.2472894215771024,0.842662374217156,0.21905720125819467,0.17644803592421174,0.348937206765444,0.04683492019783734,0.3955052371824064,0.10773350471293924,0.9163723764068632,0.011038687771862087,-0.008165556391057075,0.10841831493531524,card_111,99.83484950104767
122,315292.0,0.1651504989523258,0.4460002476252182,0.38267066719104836,0.29676617231011265,0.11657130532966269,0.0606041383860041,0.679436839501161,0.12643484999136395,0.8783225365694953,0.015048104948873616,-0.0010212755160295853,0.4030938325534183,card_122,100.0
