date,station_id,robust_z,peak_flow,baseline_peak,surge_ratio,peak_time,peak_bin,day_total,weekday
2023-05-02,101,10.122395515441895,1915.0,909.5,2.1055524349212646,19:50:00,83,105981.0,Tuesday
2023-05-21,110,10.05604362487793,381.0,135.0,2.8222222328186035,11:50:00,35,6509.0,Sunday
2023-05-06,41,10.002269744873047,2739.0,870.5,3.146467447280884,08:40:00,16,59200.0,Saturday
2023-05-06,94,9.99472713470459,350.0,187.0,1.8716577291488647,08:00:00,12,11459.0,Saturday
2023-05-06,163,9.828293800354004,252.0,99.0,2.545454502105713,08:00:00,12,6888.0,Saturday
2023-05-06,133,9.65364933013916,222.0,107.5,2.0651161670684814,08:20:00,14,6213.0,Saturday
2023-05-06,50,9.602619171142578,675.0,404.5,1.6687268018722534,08:00:00,12,22339.0,Saturday
2023-03-18,129,9.598522186279297,177.0,84.5,2.094674587249756,15:20:00,56,5333.0,Saturday
2023-05-06,47,9.505614280700684,656.0,353.0,1.8583569526672363,18:10:00,73,21195.0,Saturday
2023-05-01,30,9.503401756286621,1393.0,843.5,1.6514523029327393,14:00:00,48,84479.0,Monday
2023-05-06,114,9.169257164001465,1329.0,608.5,2.1840591430664062,08:10:00,13,39436.0,Saturday
2023-05-06,2,9.03028392791748,1819.0,560.5,3.245316743850708,08:10:00,13,42027.0,Saturday
2023-05-06,103,9.024221420288086,319.0,125.0,2.552000045776367,08:20:00,14,8690.0,Saturday
2023-05-06,13,8.832340240478516,1253.0,493.5,2.5390071868896484,08:10:00,13,35730.0,Saturday
2023-05-02,102,8.790138244628906,1001.0,597.0,1.676716923713684,18:00:00,72,58731.0,Tuesday
2023-05-06,63,8.638669967651367,303.0,136.5,2.219780206680298,08:00:00,12,9471.0,Saturday
2023-05-27,42,8.604866981506348,497.0,286.5,1.734729528427124,08:40:00,16,12681.0,Saturday
2023-05-06,67,8.508960723876953,333.0,169.0,1.970414161682129,07:30:00,9,10196.0,Saturday
2023-03-16,98,8.480487823486328,1243.0,727.5,1.708591103553772,15:40:00,58,65877.0,Thursday
2023-05-11,1,8.252593040466309,234.0,130.0,1.7999999523162842,21:50:00,95,4436.0,Thursday
2023-05-06,95,8.05929946899414,521.0,288.0,1.8090277910232544,08:10:00,13,19459.0,Saturday
2023-05-01,160,7.814584732055664,1492.0,177.0,8.429378509521484,19:10:00,79,20846.0,Monday
2023-05-03,149,7.730701923370361,261.0,112.0,2.330357074737549,16:00:00,60,9261.0,Wednesday
2023-05-06,138,7.588021278381348,240.0,150.0,1.600000023841858,08:00:00,12,8090.0,Saturday
2023-03-19,57,7.54994535446167,245.0,71.5,3.4265735149383545,14:30:00,51,9064.0,Sunday
2023-05-06,107,7.306983947753906,222.0,92.0,2.41304349899292,08:10:00,13,5652.0,Saturday
2023-05-02,145,7.235446453094482,160.0,101.0,1.5841584205627441,10:00:00,24,6310.0,Tuesday
2023-05-01,88,7.203561782836914,222.0,88.5,2.508474588394165,09:30:00,21,11155.0,Monday
2023-03-19,117,7.137053489685059,331.0,103.5,3.1980676651000977,16:30:00,63,10808.0,Sunday
2023-03-05,170,6.894794464111328,161.0,69.0,2.3333332538604736,11:30:00,33,4278.0,Sunday
2023-05-06,182,6.782379150390625,238.0,147.5,1.613559365272522,08:10:00,13,8712.0,Saturday
2023-03-25,56,6.768996715545654,240.0,99.5,2.412060260772705,22:20:00,98,3943.0,Saturday
2023-05-06,120,6.667081832885742,208.0,79.5,2.6163523197174072,08:00:00,12,5552.0,Saturday
2023-05-06,180,6.625880241394043,388.0,221.0,1.755656123161316,08:00:00,12,14069.0,Saturday
2023-05-02,98,6.522395610809326,1191.0,722.0,1.6495845317840576,11:10:00,31,66656.0,Tuesday
2023-05-06,59,6.520077228546143,452.0,147.5,3.0644068717956543,08:00:00,12,11675.0,Saturday
2023-03-15,160,6.394172668457031,293.0,56.0,5.232142925262451,18:10:00,73,3651.0,Wednesday
2023-05-02,88,6.223710536956787,180.0,78.5,2.2929935455322266,17:20:00,68,8816.0,Tuesday
2023-03-15,97,6.188908576965332,1561.0,882.0,1.7698413133621216,17:40:00,70,74598.0,Wednesday
2023-05-06,108,6.149768829345703,573.0,263.0,2.1787071228027344,08:20:00,14,16387.0,Saturday
2023-05-06,5,6.043704509735107,843.0,390.5,2.158770799636841,08:10:00,13,24816.0,Saturday
2023-05-06,21,5.995473861694336,1647.0,847.0,1.9445099830627441,08:10:00,13,48470.0,Saturday
2023-05-06,40,5.983386039733887,870.0,457.5,1.9016393423080444,07:40:00,10,28985.0,Saturday
2023-05-06,51,5.952085018157959,491.0,239.5,2.0501043796539307,08:10:00,13,14424.0,Saturday
2023-05-13,59,5.877705097198486,422.0,147.5,2.8610169887542725,17:40:00,70,7637.0,Saturday
2023-05-06,183,5.792685508728027,153.0,80.0,1.912500023841858,07:40:00,10,4593.0,Saturday
2023-05-06,62,5.665722370147705,432.0,285.0,1.51578950881958,08:00:00,12,16327.0,Saturday
2023-03-19,97,5.555857181549072,1885.0,686.5,2.745812177658081,15:30:00,57,96876.0,Sunday
2023-03-18,117,5.500847339630127,352.0,168.5,2.0890207290649414,17:10:00,67,13981.0,Saturday
2023-05-06,111,5.466925144195557,385.0,231.0,1.6666666269302368,08:10:00,13,12512.0,Saturday
2023-03-14,98,5.423740386962891,1112.0,722.0,1.5401662588119507,15:00:00,54,59289.0,Tuesday
2023-05-14,20,5.41918420791626,343.0,226.5,1.5143487453460693,11:20:00,32,15201.0,Sunday
2023-05-14,62,5.325666904449463,436.0,246.5,1.7687627077102661,11:10:00,31,14547.0,Sunday
2023-03-25,1,5.281193256378174,974.0,214.5,4.540792465209961,22:20:00,98,13096.0,Saturday
2023-05-03,146,5.246039390563965,379.0,239.0,1.5857740640640259,13:50:00,47,17512.0,Wednesday
2023-05-06,100,5.217548370361328,1065.0,597.0,1.7839195728302002,08:40:00,16,33565.0,Saturday
2023-05-06,112,5.113075256347656,327.0,209.5,1.560859203338623,18:00:00,72,12597.0,Saturday
2023-03-01,160,5.09915018081665,245.0,56.0,4.375,18:00:00,72,3340.0,Wednesday
2023-03-26,23,5.014306545257568,568.0,285.5,1.9894921779632568,14:40:00,52,26157.0,Sunday
2023-05-06,6,4.954913139343262,786.0,499.5,1.5735735893249512,08:00:00,12,28664.0,Saturday
2023-03-18,97,4.903197765350342,1986.0,866.5,2.2919793128967285,14:50:00,53,102868.0,Saturday
2023-03-04,160,4.83980655670166,1345.0,261.5,5.14340353012085,18:10:00,73,15332.0,Saturday
2023-03-19,23,4.801309585571289,556.0,285.5,1.947460651397705,14:20:00,50,28098.0,Sunday
2023-05-06,61,4.797587871551514,555.0,334.5,1.6591928005218506,08:20:00,14,17831.0,Saturday
2023-05-06,73,4.6757073402404785,417.0,212.5,1.962352991104126,08:00:00,12,13345.0,Saturday
2023-03-19,131,4.609020233154297,492.0,225.5,2.1818182468414307,16:30:00,63,15088.0,Sunday
2023-05-06,181,4.564054012298584,279.0,177.5,1.5718309879302979,07:50:00,11,9832.0,Saturday
2023-05-20,1,4.551074504852295,869.0,214.5,4.051281929016113,22:20:00,98,10235.0,Saturday
2023-05-20,77,4.536494731903076,471.0,262.5,1.7942856550216675,10:50:00,29,14094.0,Saturday
2023-05-01,14,4.523921012878418,2849.0,1772.5,1.6073342561721802,17:50:00,71,154869.0,Monday
2023-05-06,99,4.166853904724121,1059.0,642.0,1.649532675743103,08:40:00,16,30658.0,Saturday
2023-05-06,57,4.137547969818115,292.0,86.5,3.375722646713257,08:30:00,15,4529.0,Saturday
2023-05-06,66,4.082444190979004,164.0,106.5,1.5399061441421509,07:40:00,10,6059.0,Saturday
